Anyone can do that.	任何人都可以做到。
You've lost weight, haven't you?	你減肥了，不是麼？
Tom can swim pretty well.	湯姆能遊得很好。
I go to work every day.	我每天去上班。
I will be at the meeting.	我會出席會議的。
I'll lend you this dictionary.	我會借給你這本字典。
Let's just enjoy this peace and quiet.	讓我們享受這平靜和安寧。
He doesn't know English at all.	他一點也不懂英語。
The conflict between blacks and whites in the city became worse.	在這個城市，白人和黑人間的爭端愈演愈烈。
They made the novel into a drama.	他們把這本小說變成戲劇。
Your shirt button is coming off.	你襯衣的鈕釦快掉了。
I'll be your first patient.	我將是你的第一個病人。
The doctor told her that she should take a rest.	醫生告訴她要靜養。
Our car broke down last night.	我們的昨晚車拋錨了。
I wish you could have been there.	要是你能在那裡就好了。
I can't stand that kind of politician.	我不能忍受那種政治家。
We ate sandwiches for breakfast.	我們早餐吃了三明治。
This is the window he broke.	他砸壞的是這扇窗。
The girl was afraid to jump down from the roof.	小女孩害怕從屋頂上跳下來。
I want to go to school and study hard.	我想上學並努力學習。
Are you sure?	你確定嗎？
Stop meddling.	別再插手。
He seems to have told a lie.	他似乎已經說了謊。
I came to Japan to see Kyoto.	我來日本看京都。
He has a large farm in Colorado.	他在科羅拉多州有一個大農場。
Is this everything?	這就是全部嗎？
He may be jogging around the park.	他可能在公園周圍慢跑。
I study at school.	我在學校讀書。
Please tell me what you think.	請告訴我你的想法。
Whose idea was it?	這是誰的主意？
He likes listening to the radio.	他喜歡聽廣播。
How long have you been abroad?	你在國外多久了？
Is it cheaper to call after 9:00?	九點以後打電話比較便宜嗎？
Look out!	當心！
Tom enjoyed himself at the party.	湯姆在晚會玩的很開心。
I waited for her to speak.	我等著她說話。
He is not as smart as his older brother.	他不像他的兄長那樣聰明。
You may choose whichever you want.	你可以選擇任何你想要的。
Is Tom really a nice guy?	湯姆是個好人嗎？
Do you have a pen on you?	你身上有鉛筆嗎？
I didn't feel like buying a car.	我不想買車。
I can't even remember what Tom looks like.	我甚至不能記起來湯姆長什麼樣。
What did you do yesterday evening?	你昨天晚上做了什麼？
I can't wait to go on a vacation.	我等不及要去度假。
I agree with that opinion.	我同意那個意見。
Please lend me your knife.	請借我你的刀。
It was Tom that saved the girl.	是湯姆救了這個小女孩。
He promised me he would be here at six.	他答應我六點鐘的時候他會在這裡。
I hit him in the belly.	我打了他的肚子。
I'm grateful for that.	我對那事很是感激。
I'm learning English.	我學英文。
Aren't you hot?	你不熱嗎？
The boy I love doesn't love me.	我愛的那個男孩不愛我。
Give me a light, would you?	借個火，好嗎?
Can you lend me some money?	你可以借我一些錢嗎?
He is lacking in common sense.	他缺乏常識。
She is eager to live in Australia.	她渴望住在澳洲。
You may as well tell me all about it.	你不妨告訴我一切。
Tom sent me an interesting text.	湯姆給我發了一條有趣的短信。
He's interested in many things.	他對很多事情都有興趣。
This movie is frightening to the children.	這部電影對小孩來說很可怕。
I wish Tom were my younger brother.	我希望湯姆是我的弟弟。
He has written a letter.	他寫了一封信。
We're the same age.	他和我同歲。
Step aside.	讓開。
Mary can speak Japanese.	瑪麗會講日語。
He arrived earlier than usual.	他比平常早一點到達。
My leg was bitten by that dog.	我的腿被那隻狗咬了。
I would like to purchase some boots.	我想買些靴子。
I want your opinion.	我想要聽聽你的意見。
He stretched out his arm to take the book.	他伸長了手臂爲了能拿到書。
The students learned many poems by heart.	學生們用心學習了很多首詩。
The company invested a lot of money in this project.	該公司在這個企劃中投入了很多錢。
My house is big.	我家很大。
All of them agreed to the proposal.	他們所有的人都同意這項建議。
Come on. I want to show you something.	來吧。我想讓你看點東西。
Two months have passed since he left for France.	自從他離開去法國，已經有兩個月了。
You dropped your handkerchief.	你的手帕掉了。
Because it is written in simple English even a child can understand it.	因為這是用簡單的英語寫的，所以甚至連孩子都能理解。
May I go now?	我現在能去了嗎？
Turn left.	向左轉。
He's the chairman of the committee.	他是委員會主席。
Are you aware of how much she loves you?	你知道她有多麼愛你嗎?
That's perfect.	那是完美的。
When did you come to Japan?	你何時來日本的?
Would you like some more beef?	你想再來些牛肉嗎？
I do not know how to use it.	我不知道如何使用它。
We were astonished to hear what had happened.	我們聽到所發生的事，感到很驚訝。
I really like to read.	我真喜歡閱讀。
He went on reading the book as if nothing had happened.	他繼續讀書，好像什麼事也沒有發生。
Tom decided not to wait.	湯姆決定不再等了。
How much money do you have hidden under your bed?	你在你的牀下面藏了多少錢？
Tom wondered why there was a dog in his house.	湯姆奇怪爲什麼他的房子裏有隻狗。
"I feel like playing cards." "So do I."	“我想打牌。”“我也是。”
Haven't I seen you before?	我以前沒見過你嗎？
They had their houses destroyed by a strong earthquake.	他們的房屋被強烈地震摧毀了。
I'd rather go swimming.	我寧願去游泳。
I asked Tom to open the window.	我請湯姆把窗戶打開。
Do you go to school on Saturday?	你星期六去上學嗎？
I believed that he would keep his promise.	我相信他會信守諾言。
Can we stop fighting?	我們能不打了嗎？
I miss Mary's cooking.	我想念Mary 的廚藝。
I was just about to leave.	我就要離開了。
I made his son a new suit.	我給他的兒子做了一套新西裝。
He can't help you.	他不能幫你。
Which book is yours?	哪本是您的書？
Please give me a glass of milk.	請給我一杯牛奶。
He lives in a cozy little house.	他住在一個舒適的小房子裡。
Where would you like to go first?	你想先去哪裡?
Mary is very cute, isn't she?	馬力很可愛，不是麼？
This dictionary contains about 40,000 headwords.	這本字典包含了約4萬個詞條。
I've been requested to help you.	有人請我幫你。
I filled the bucket with water.	我在桶子裡裝滿了水。
Did you borrow it?	你借它了嗎？
Tom says he feels a little better.	湯姆說他感覺好點了。
Close your eyes.	閉上你們的眼睛。
We should abolish the death penalty.	我們應該廢除死刑。
This apple is very red.	這隻蘋果非常紅。
He stole money from her wallet.	他從她的錢包偷了錢。
Mary tied an apron around her waist and then took the turkey out of the oven.	Mary試圖把圍裙圍在腰上，然後把烤雞從爐子裏拿出來。
I do not want any bananas at all.	我一點也不要香蕉。
I watched a great movie yesterday.	我昨天看了部很棒的電影。
It's business.	公事公辦。
I'm reading.	我在讀書。
He used to meditate in the morning.	他過去時常在早上的時候冥想。
This book is easy enough for them to read.	這本書他們讀起來夠簡單了。
They guarantee this clock for a year.	他們保證這個時鐘可用一年。
You should try this.	你應該試試這個。
She got through her work before five.	她在五點鐘前做完了她的工作。
Thank you, I've had enough.	謝謝你，我吃飽了。
He didn't know that.	他不知道。
Did he look like a doctor?	他看起來像個醫生嗎？
I'm going to get rid of all this stuff.	我要擺脫這一切。
The strike affected the nation's economy.	罷工妨礙了國家經濟。
You'd better start now.	你最好現在就開始。
This system has obvious defects.	這個系統有些明顯的缺陷。
They're afraid of us.	他們害怕我們。
He's a big boy.	他是個大男孩。
I love nature.	我愛大自然。
Watch him and do the same thing.	看著他並且跟他做同樣的事情。
I really like French cooking.	我真的很喜歡法國菜。
I met Mary yesterday.	昨天我遇見了瑪麗。
His father eats there twice a week.	他爸爸一週在那裡吃兩次。
I am yours and you are mine.	我是你的，而你是我的。
The boy enjoyed painting a picture.	這個男孩喜歡繪畫。
I'm a teacher.	我是個老師。
She is far better today than yesterday.	她今天比昨天要好很多。
People show up bright on an infrared camera because of their body heat.	人會因為體溫而在紅外線攝影機上顯現。
That incident made him famous.	這起事件使他一舉成名。
I was angry because he was late.	因為他遲到了，所以我很生氣。
They only sell women's shoes here.	這裏只賣女鞋。
I wish that she would stop smoking.	我希望她戒煙。
He went there ten years ago.	他十年前去了那‘裏。
You should have completed it long ago.	你們很久前就應該完成了。
Leave a space between the lines.	行與行之間要留一個空間。
I knew he would accept.	我知道他會接受的。
Don't worry! Even if I drink, it doesn't have an effect on my driving.	別擔心! 即使我喝酒了, 它對我的駕駛沒有影響。
This noise is driving me crazy.	這個噪聲快把我逼瘋了。
Call me.	聯繫我。
That river flows into the Pacific.	這條河匯入太平洋。
No problem at all!	一點問題都沒有！
Is there a zoo in Boston?	波士頓有動物園嗎？
You've gained weight, haven't you?	你的體重增加了，不是嗎？
Do you mind if I open the door?	你介意我開門嗎?
Who picked you for this mission?	誰選你來做這個任務？
She made fun of her husband.	她取笑了她的丈夫。
He still hasn't responded to my letter.	他還沒回我的信。
What were you doing this morning?	今天早上你在做什麼？
You have done very well.	你做得很好。
It's time to eat lunch.	午餐時間到了。
Sometimes things that happen do not make sense.	有時候，發生的事情並不是合情合理的。
Don't believe everything you hear.	不要相信你聽到的每件事。
Do you want to be an actor in a movie?	你想成為一名電影演員嗎？
The police think the burglar entered through a basement window.	警察認爲竊賊從地下室窗口進入。
I asked him if he knew her address.	我問他是否知道她的住址。
I don't know if there's time.	我不知道有沒有時間。
That's not a cat. That's a dog.	那不是貓。那是狗。
I got acquainted with him last night.	我昨晚認識了他。
She is giving the baby a bath.	她正在給嬰兒洗澡。
Come on over to have a try.	你過來試試看。
Where did you get your hair cut?	你在哪裡剪頭髮？
I look forward to your next visit.	我期待著您的再次光臨。
He needs an umbrella.	他需要一把傘。
When she was in Los Angeles, she had at least six different jobs.	當她在洛杉磯的時候, 她至少有六份工作。
It's free.	它是免費的。
What time shall I pick you up?	我該幾點去接你？
Tom planted three apple trees in his yard.	湯姆在他的院子裏種了三棵蘋果樹。
Have you heard about the accident?	你聽說過這場意外嗎？
I'm looking for some regular work.	我在找一些固定工作。
She hit him.	她打了他。
I have a dim memory of my grandmother.	我對祖母的記憶很模糊。
Where have you been?	你一直在哪裏？
I met a Smith at the party.	我在聚會上見了史密斯。
Your time is up.	你的時間到了。
We had a good time last night.	我們昨晚玩得很開心。
If he studied hard, he would pass the test.	如果他努力學習，他會通過考試的。
Tom is old enough to go to school.	湯姆年紀足夠去上學了。
The girl doesn't like to play soccer.	那個女孩不喜歡踢足球。
Whose is this?	這是誰的？
Bring your children along.	把你的孩子帶來。
I couldn't sleep.	我無法入睡。
He has more books than I do.	他擁有的書比我的多。
He's very angry with you.	他對你非常生氣。
It's late.	很晚了。
Tom nearly died tonight.	湯姆昨晚差點死了。
Where is the pain?	哪裡痛？
I like to take a walk after meals.	我喜歡飯後散步。
He is good at driving.	他擅長駕駛。
I just need you to come with me.	我只要你跟我來。
I was brought up in the country.	我在鄉下被撫養長大。
He stepped on my foot on purpose.	他故意踩我的腳。
My grandfather comes from Osaka.	我的祖父來自大阪。
The storm abated.	風暴減弱了。
I really enjoyed your company.	我真的很喜歡你的陪伴。
We haven't yet been told what we need to do.	還沒人告訴我們要做甚麼。
We're ready to leave.	我們準備離開。
You are too sensitive to criticism.	你對批評太敏感了。
Tom didn't seem that happy.	湯姆看來不高興。
You are in a safe place.	您在一個安全的地方。
Do you have an extra English dictionary by any chance?	您碰巧有一本額外的英文字典嗎？
I, for one, am for the plan.	就個人而言, 我贊同這個計劃。
There is no school during August.	8月份沒課。
Tom found me a taxi.	湯姆幫我叫了輛計程車。
Would you like a cup of coffee?	你要來杯咖啡嗎?
Could you write it down, please?	請你寫下來好嗎？
One of the dogs is alive.	這些狗中的其中一隻是活的。
Who's that guy?	那傢伙是誰？
Please send us more information.	請給我們更多訊息。
Tom has never been on time.	湯姆從來都沒有準時過。
It's pitch black outside.	外面一片漆黑。
Please excuse me for being rude.	請原諒我的魯莽。
If her nose were a little shorter, she would be quite pretty.	若她的姿態能再低一點就更完美了。
Do not give in to those demands.	不要屈服於這些要求。
I don't like being treated like this.	我不喜歡以這種方式被對待。
Are you sure you don't want to sleep on it?	你確定你不想睡在它上面嗎？
You may make use of his library.	你可以利用他的圖書館。
They didn't obey their parents.	他們沒有遵從他們的父母。
This is gibberish.	這是胡說。
It's going to rain soon.	天快要下雨了。
Do you think her story is false?	你覺得她在說謊嗎？
A penny saved is a penny earned.	省下了一分錢，就等於賺了一分錢。
He started going bald quite young.	他很年輕就開始禿頭了。
You'd better not have driven my car.	你最好不要開了我的車。
When did you graduate from Oxford?	你什麼時候從牛津大學畢業的？
I can read without glasses.	沒眼鏡我可以讀。
It took us half an hour to set up the tent.	搭帳篷花了我們半小時。
Hunger is the best sauce.	對於一個飢餓的人來說，任何食物都是美味。
The embassy is located next to the Supreme Court.	大使館就在最高法院旁邊。
The black telephone costs more than the white.	黑的電話比白的花錢多。
I don't know when he will come.	我不知道他什麼時候會來。
A famous architect built this house.	一個有名的建築師造了這個房子。
He lied to my face.	他在我面前撒謊.
My hand was burned.	我的手燒傷了。
He told us such a funny story that we all laughed.	他給我們講了一個有趣的故事，我們都笑了起來。
He confessed that he was guilty.	他承認有罪。
This is not a sentence.	這不是一句話。
She cried as she read the letter.	她一邊讀這封信一邊哭。
You must study English every day.	你必須每天學習英語。
The policeman grabbed the boy's arm.	警察抓住了那個男孩的手臂。
He blamed me for the accident.	他為這個意外指責我。
My father graduated from Harvard University.	我爸爸是哈佛大學畢業的。
English is spoken in Canada.	在加拿大的人說英語。
We didn't intend to attack him.	我們沒有打算要攻擊他。
He made his way to the minister.	他設法當上了部長。
This is your only chance.	這是你唯一的機會。
I know you're upset.	我知道你難過。
Please show me what to do next.	請告訴我下一步該做什麼。
What time does this train reach Yokohama?	火車什麼時候到橫濱？
He fell in love with her at first sight.	他對她一見鍾情。
Wine is made from grapes.	葡萄酒是用葡萄做成的。
When does Tom eat breakfast?	湯姆什麼時候吃早飯？
I'm not guilty.	我沒有罪。
I don't think we'd have any chance of winning.	我認爲我們沒有機會贏。
She has a daughter who is a pianist.	她有一個鋼琴家女兒。
He broke up the chair for firewood.	他摔斷了椅子當柴火。
I wonder how many Canadians live in Boston.	我在想有多少加拿大人住在波士頓。
My father drives very well.	我父親開車開得非常好。
Ten years is a long time.	十年是很長的時間。
I don't want to talk to you.	我不想跟你說！
You don't like sashimi, do you?	你不喜歡生魚片，是嗎？
She does not have a ticket.	她沒有票。
He shaves every day.	他每天刮鬍子。
The cake is delicious.	蛋糕很美味。
I didn't see anything.	我什麼都沒看見。
Leaving something unfinished is the worst thing you can do.	半途而廢是你所能做的最糟糕的事情。
I am a vegetarian.	我是素食主義者。
He did everything he could for his child.	他為自己的孩子能做的都做了。
He threw a ball over the fence.	他把球扔過了柵欄。
I'm thinking of going abroad next year.	我在考慮明年去國外。
We tried to compromise with them.	我們試著和他們妥協。
We may never know.	我們可能永遠不知道。
Are you not feeling well?	你身體不舒服嗎？
I go to the library two or three times a week.	我一週去圖書館兩、三次。
Will I have a scar?	我會留疤嗎？
We had a conversation about baseball.	我們交談了有關棒球的事。
She is married to an American.	她嫁給了美國人。
Watch out for thieves around here.	在這附近當心小偷。
He studies history at college.	他在大學修讀歷史。
When I came home, Tom was studying.	當我回家的時候，湯姆正在讀書。
Her oldest daughter got married.	她的大女兒結婚了。
Catch him.	抓住他。
You had better not go there again.	你最好不要再去那裡。
Tom will come back from Boston next Monday.	湯姆會在下週一從波士頓回來。
Tom taught me French.	湯姆教了我法語。
Can I park my car here?	我能把我的車停在這兒嗎？
I helped my brother move his desk.	我幫我弟弟搬了他的書桌。
Modern ships only need a small crew.	現代船隻只需要一小組的船員。
It is really time for us to go.	這真是我們該走的時候了。
I have already finished this book.	我已經讀完了這本書。
Freedom is the center of American democracy.	美國民主的中心思想是自由。
Please take good care of yourself.	請好好照顧你自己。
This message doesn't make sense.	這個消息沒有道理。
The date of the festival coincides with that of the exam.	節日和考試碰巧在同一天。
There are subtle differences between the two pictures.	這兩張圖片之間有細緻的差異。
He relies on his wife financially.	他經濟上依靠他的太太。
He is the father of three children.	他是三個孩子的父親。
Shame on you.	你真丟臉！
You make me happy.	你讓我快樂。
I have to get my computer repaired.	我必須把我的電腦拿去給人家修理。
I am familiar with the author's name.	我對這位作者的名字很熟悉。
Turn on the light, please.	麻煩開燈一下。
She is going to have a baby.	她將生孩子。
I don't remember your name.	我不記得你的名字了。
How about you?	你們呢？
The song reminds me of my home.	這首歌讓我想家了。
"Tom isn't here." "Then where is he?"	“湯姆不在那兒。”“那麼他在哪兒？”
Tom is on his way here.	湯姆正在來這裏。
Please turn off the light before you go to bed.	上牀睡覺之前請關燈。
Why did you cry so much?	你為甚麼哭得這麼厲害？
They helped each other with homework.	他們互相幫忙做功課。
I asked him where he was going.	我問了他要去哪裡。
He decided to marry her.	他決定娶她。
How much do you love me?	你有多愛我？
She went over the list to see if her name was there.	她走過去看看她的名字是否在清單上。
What's this song? I've heard it before, but I can't remember the name.	這是什麼歌？我以前聽過，但是我想不起歌名了。
She likes taking pictures.	她喜歡拍照片。
After she had lunch, she got ready to go out.	吃過午飯後，她準備好要出門了。
Do you know of any good restaurant near here?	你知道這兒附近有什麼好餐館嗎?
His bicycle is blue.	他的自行車是藍色的。
Are you busy now?	現在您忙嗎？
The price of the book was $5.	這本書的價格是5美元。
Have you ever seen such a beautiful sunset?	你看過這麼美的夕陽嗎?
You should take care of your sick mother.	你應該照顧你生病的母親。
Let me buy you another one.	我給你再買一個吧。
My mother is a very good cook.	我媽媽的廚藝很好。
I stayed up till very late last night.	我昨晚睡得很晚。
Are they treated fairly?	他們受到公正對待了嗎？
I like chocolate.	我喜歡巧克力。
She filled her bag with apples.	她在她的袋子裡裝滿了蘋果。
There are many books in my room.	我房間裡有很多書。
I'm satisfied with my work.	我很滿意我的工作。
Let's go to the beach.	讓我們去海邊吧。
I have brothers.	我有兄弟。
His parents are saving for his college education.	他的父母為他的大學教育存錢。
I'm not sure, but I think I know where to go.	我不確定，但我認爲我知道要去哪裏。
It's not funny.	這不好笑。
Here is a letter for you.	這是你的信。
How awful!	太可怕了。
Mary came in.	瑪麗進來了。
Let's play tennis this afternoon.	讓我們今天下午打網球。
She finally reached the hotel.	她終於到達了酒店。
The missing cat has not been found yet.	失蹤的貓還沒被找到。
I waited an hour for my friend.	我等我的一個朋友等了一小時。
This book is for students whose native language is not Japanese.	這本書是給母語不是日語的學生的。
I'm feeling good this morning.	我今天早晨感覺良好。
He taught himself French.	他自學法語。
I don't drink or smoke.	我既不抽菸也不喝酒。
AI stands for artificial intelligence.	AI 代表人工智能。
I don't care what he does.	我不在乎他做什麼。
There's no mistake.	沒有錯誤。
You'd better consult your doctor.	你最好請教你的醫生。
There's no chance of rain today.	今天不可能下雨。
The boy came running into the room.	小男孩跑進了房間。
They made him captain of the team.	他們要他作隊長。
Please tell me about your problem.	請告訴我你的問題。
Except for one person, everybody went home.	除了一人，大家都回家了。
Blondes earn 7% more than women with any other hair color.	金髮女郎比其他顏色頭髮的女人多賺7％。
There is a cup on the table.	桌上有個杯子。
She had her handbag stolen.	她的手提包被偷了。
Listen carefully.	仔細聽着。
The prince succeeded to the throne.	王子繼承了王位。
All you can do is wait.	所有你能做的就是等待。
That river is dangerous.	那條河是危險的。
I don't understand why pepperoni pizza is so popular.	我不懂為何義式辣腸披薩如此受歡迎。
I can't see you.	我看不見你。
I'm sure that he'll come on time.	我確定他會準時來。
I want you to work harder.	我希望你更加努力地工作。
The television doesn't work.	電視機壞了。
He walks his dog every morning.	他每天早晨溜狗。
I expect her back by six o'clock.	我希望她六點前回來。
Tom knows my number.	Tom知道我的號碼。
Graham Greene is my favorite author.	格雷厄姆格林是我最喜歡的作家。
My parents live in the country.	我父母住在鄉下。
Do you like swimming?	你喜歡游泳嗎？
You must be tired after such a long trip.	在這麼長程的旅途後你一定很累了。
He has made the baseball team.	他已經成為了棒球隊員。
Between you and me, I'm going to quit my present job soon.	我只跟你說，我很快就要辭掉我現在的工作了。
You'd better go to see your family doctor at once.	你最好立刻去看你的家庭醫生。
It will cost around 10,000 yen.	這將花費約10000日元。
My father is a doctor.	我父親是個大夫。
She set out on a trip last week.	她上週去旅行了。
We usually walk to school.	我們通常步行去學校。
My grandfather gets up early.	我的祖父早起。
You're still too young to get a driver's license.	你還太年輕無法取得駕駛執照。
We should go to sleep.	我該去睡覺了。
Tom takes the bus to the city.	湯姆搭公車去市區。
I want to know how long it'll take.	我想知道這需要用多久時間。
Help yourself to more potato chips.	隨意多吃點洋芋片吧。
He often walks to school.	他常常走路去學校。
It's much more convenient.	這方便得多了。
The goods were transported by ship.	這批貨物是由船隻運送的。
People used to laugh at us.	人們以前笑話我們。
Please mail this letter for me.	請幫我寄信。
That man stole my wallet.	那男人偷了我的錢包。
The police didn't find any clues.	警方沒有發現任何線索。
What's that?	那是什麼？
You can't say no.	你無法說“不”。
Our country's climate is temperate.	我國是溫帶氣候。
They kissed.	他們親吻了。
I feel like eating something sweet.	我想吃點甜的東西。
I stayed with my uncle last week.	我上週跟我叔叔住在一起。
The rivers were flooded by the heavy rain.	大雨使河水氾濫。
What's the daily fee?	每天費用多少？
It wasn't a very interesting novel.	這不是一個很有趣的小說。
I will ask him about it tomorrow, then.	那我明天會問他的。
You were eavesdropping.	你在偷聽。
I don't like this.	我不喜歡。
There were so many things I wanted to ask Tom.	我有很多事想問湯姆。
Mary treated her wounded knee.	瑪麗處理了膝蓋的傷口。
I'd like to attend the party.	我想要出席排隊。
I'm listening to music.	我正在聽音樂。
I don't care all that much.	我不那麼在意。
She thanked us for our help.	她感謝我們的幫助。
What do you think about this plan?	你覺得這個計劃怎麼樣？
My father goes to church on Sunday.	我爸爸週日上教堂。
Cherry blossoms are very beautiful.	櫻花非常漂亮。
She found a job as a typist.	她找到了一份打字員的工作。
I know all my neighbors.	我認識我所有的鄰居。
My father takes a walk every morning.	我父親每天早上去散步。
Above all, be patient.	尤其是要有耐心。
I'm afraid you'll have to go in person.	我恐怕您必須親自去。
All the furniture was covered with dust.	所有的傢俱都佈滿了灰塵。
There was no one left but me.	除了我沒有人離開。
Traffic downtown is all backed up.	市中心的交通都堵塞了。
I am interested in Japanese history.	我對日本歷史有興趣。
He managed to get there in time.	他設法及時到達那裡了。
I like dragon fruit.	我喜歡火龍果。
My parents sent me a postcard.	我父母給我寄了一張明信片。
Tom says he has a plan.	湯姆說他有個計劃。
How many students are there in your school?	你們學校有多少學生？
Algebra is my favorite subject.	代數是我最喜歡的科目。
How long has it been since you saw your girlfriend?	你跟你的女朋友見面以來有多久了？
I know he is watching me.	我知道他在看著我。
Tom didn't look happy at all.	湯姆看起來一點也不開心。
She wore a beautiful dress.	她穿著漂亮的洋裝。
I'm always busy with my homework.	我總是忙於功課。
It's a pity that you couldn't come.	很遺憾你不能來。
Skating is one of my hobbies.	溜冰是我的嗜好之一。
I belong to the drama club.	我參加戲劇社。
No, I didn't write it.	不，我沒寫。
How do you like Japan?	你覺得日本怎麼樣？
What did you do with my glasses?	你用我的眼鏡做了什麼?
Don't complain. You have to go.	別抱怨了。你必須去。
He played tennis all day long.	他整天打網球。
Did you feed the dog this morning?	你今天早上餵過狗了嗎？
I told you not to talk about the matter in her presence.	我跟你說過她在的時候不要說這件事。
Experience is the best teacher.	經驗是最好的老師。
I'll teach you how to drive a car.	我會教你怎麼開車。
It is easy for a monkey to climb a tree.	對猴子來說，爬樹很容易。
Who invented that?	那是誰發明的？
Tom yawned.	湯姆打哈欠了。
It is not good for a scientist to get emotional.	對一個科學家來說，多愁善感是不好的。
The boy doesn't know how to behave.	這個男孩不懂禮貌。
Tom speaks French a little.	湯姆會說一點法語。
Not all of us can speak English.	我們並不是全部都會講英語。
The bus is full. You'll have to wait for the next one.	這班公車客滿了。你必須等下一班。
She was very embarrassed when her child behaved badly in public.	當她的孩子在公共場合行為表現不好的時候，她覺得很尷尬。
How do you say this word?	你們怎麼讀這個詞？
She made the same mistake again.	她又犯了同樣的錯誤了。
Speaking English is not easy.	說英語不容易。
A hare raced with a tortoise.	兔子和烏龜賽跑。
Please put the book on the shelf.	請把書放在架子上。
I'm not sure Tom would help.	我不確定湯姆能不能幫忙。
Most people brush their teeth at least two times a day.	多數人每天至少刷兩次牙。
There's only one store on the island.	在這個島上只有一家商店。
Was Tom asleep?	湯姆睡着了嗎？
A nurse took my temperature.	一個護士量了我的體溫。
The doctor examined my throat.	醫生檢查了我的喉嚨。
Are you thirsty?	你渴嗎？
I am not well at all.	我一點都不好。
Which judge heard the case?	哪一位法官審理此案？
You never get my jokes.	你從來不明白我的玩笑。
The horse stopped and wouldn't move.	這匹馬停下來不動了。
Part of his story is true.	他的故事一部分是真的。
Father stopped drinking.	父親戒酒了。
I returned the books I borrowed from the library, and I borrowed some new ones.	我還了從圖書館借的書，又借了些新的。
I heard our dog barking all night.	我聽到我們的狗叫了一整夜。
In a crisis, you must get in touch with your teacher.	在危險的時候你必須跟你的老師聯繫。
Please put your shoes on.	請穿上你的鞋子。
I want you to open the window.	我要你把窗戶打開。
Cooking takes too much time.	做飯太費時間了。
He drank a whole bottle of milk.	他喝了一整瓶的牛奶。
She felt herself being lifted up.	她覺得自己好像被舉起來了。
He compared his car to the new model.	他拿他的車和新款車作比較。
It's bad manners to point at people.	用手指點別人不禮貌。
Who do you want to speak to?	你想跟誰說話？
Hokkaido is to the north of Sendai.	北海道在仙台的北方。
We don't have time.	我們沒時間。
That's the village I was born in.	這就是我出生的村莊。
Who is playing the piano?	誰在彈鋼琴？
We grow a variety of crops.	我們種植各種的作物。
Is this your first trip abroad?	這是你第一次出國嗎？
Tom has lost his interest in studying French.	湯姆已經對學法語不感興趣了。
OK. I agree.	好。我同意。
It is extremely hot and humid in Bali in December.	12月份巴釐島極其炎熱和潮溼。
I've had enough, so my stomach is full.	我吃飽了，所以我的胃都滿了。
Tom said he wouldn't be able to do what we asked him to do.	湯姆說他做不成我們要他做的事。
Now let's get down to work.	現在讓我們開始工作。
Do you own a gun?	你擁有槍支嗎？
He lives across the street from us.	他住在我們街對面。
I went there yesterday.	昨天我去了那裡。
I really don't understand this problem.	我真的不懂這個問題。
He came several times.	他來了很多次了。
Is the room big enough for you?	這間房間對你來說夠大嗎?
Switzerland is a beautiful country.	瑞士是一個美麗的國家。
You don't need a gun.	你不需要槍。
One who has everything can lose everything.	擁有一切的人可能會失去一切。
I don't know what you're referring to.	我不知道你指的是什麼。
A change of air will do you a lot of good.	改變環境將對你有很多好處。
These tools are used for building a house.	這些工具是用來造房子的。
He lied to us.	他欺騙了我們。
What do you think I was doing before?	你覺得我之前在做什麼？
Tom used to live near Mary.	湯姆以前跟瑪麗住得近。
Will you stay at home?	你會待在家嗎？
The stripes were horizontal.	條紋是水平的。
Can I borrow your digital camera tonight?	我今晚能借你的數碼相機嗎？
She applied her mind to her new job.	她專注在她的新工作上。
I've never seen Tom so angry.	我從沒見過湯姆那麼生氣。
I hope it'll be fine tomorrow.	我希望明天將是美好的。
Fancy meeting you here!	想不到會在這裡遇見你！
Do you like school?	你們喜歡學校嗎？
Was it cloudy in Tokyo yesterday?	昨天東京是陰天嗎?
She isn't afraid of death.	她不怕死。
His wife is in the hospital because she was injured in a car crash.	他的妻子在醫院裡因為她在一場車禍中受傷了。
I woke up at five this morning.	我今天早上五點醒來。
I got acquainted with him in France.	我在法國認識了他。
He has been sick since last night.	他從昨晚開始就生病了。
A fool and his money are soon parted.	笨蛋難聚財。
What steps should we take?	我們應該走出什麼樣的步伐。
When would you like to see him?	你想要什麼時候見他?
This is really delicious.	這個真好吃。
Give me a chance to make you proud of me.	給我機會來讓你爲我感到自豪。
He left high school at seventeen.	他十七歲的時候離開了高中。
Write your name in capital letters.	寫下你名字的大寫字母。
Wow! It's been a long time.	哇! 好久不見了。
Could you please tell me again why you are late?	你能再向我解釋一遍你爲什麼遲到了嗎？
Don't forget smoking is bad for your health.	不要忘記吸菸對你的健康有害。
These boxes are made of plastic.	這些箱子是由塑料製成的。
Please say hello to your family.	帶我向你家人問好。
He will be back soon.	他很快就會回來的。
How do you like your eggs done?	你的蛋要怎麼做?
The doctor gave it to her.	醫生把它給了她。
How long does the airport bus take to the airport?	乘機場大巴去機場要多久？
Will you wait a minute?	麻煩您等一下。
You must send for the doctor.	你必須派人去請醫生來。
We must sleep at least eight hours a day.	我們每天至少該睡八小時。
I said that.	我是那樣說的。
We must try to break the deadlock.	我們必須設法打破這個僵局。
Let me stop you right there. We don't want to hear about that.	讓我在這打斷你。我們不想聽那個話題。
